customer_id,loan_id,risk_score_ml,risk_tier,segment_label
C00284,LN482296,70.4,Red,High-Risk Borrowers
C00286,LN640152,70.1,Red,High-Risk Borrowers
C00288,LN439813,13.8,Green,Prime Borrowers
C00289,LN702084,24.1,Green,Prime Borrowers
C00291,LN248542,9.3,Green,Prime Borrowers
C00292,LN322365,6.1,Green,Prime Borrowers
C00294,LN405336,39.5,Amber,Prime Borrowers
C00297,LN459492,17.3,Green,Near-Prime Borrowers
C00299,LN607635,11.8,Green,Near-Prime Borrowers
C00301,LN298315,46.6,Amber,Near-Prime Borrowers
C00303,LN474507,44.2,Amber,High-Risk Borrowers
C00304,LN181462,36.3,Amber,Prime Borrowers
C00307,LN668894,13.9,Green,Near-Prime Borrowers
C00308,LN185273,43.1,Amber,Near-Prime Borrowers
C00310,LN185115,63.0,Amber,Subprime Borrowers
C00313,LN250667,46.0,Amber,Prime Borrowers
C00315,LN159638,38.3,Amber,Prime Borrowers
C00316,LN432764,30.0,Green,Prime Borrowers
C00317,LN998291,8.7,Green,Near-Prime Borrowers
C00319,LN544049,32.9,Green,Near-Prime Borrowers
C00320,LN630509,36.9,Amber,Prime Borrowers
C00323,LN159121,14.2,Green,Prime Borrowers
C00326,LN770963,16.8,Green,Near-Prime Borrowers
C00330,LN629814,35.4,Amber,Prime Borrowers
C00331,LN783795,55.7,Amber,Prime Borrowers
C00332,LN581747,58.9,Amber,High-Risk Borrowers
C00337,LN483124,25.4,Green,Prime Borrowers
C00338,LN285560,54.4,Amber,Prime Borrowers
C00339,LN122206,75.5,Red,Near-Prime Borrowers
C00342,LN822046,56.8,Amber,High-Risk Borrowers
C00344,LN367840,69.1,Red,High-Risk Borrowers
C00345,LN134066,72.7,Red,High-Risk Borrowers
C00351,LN523212,60.5,Amber,High-Risk Borrowers
C00356,LN601855,35.3,Amber,Near-Prime Borrowers
C00357,LN967333,50.4,Amber,High-Risk Borrowers
C00358,LN824073,11.2,Green,Prime Borrowers
C00359,LN580591,37.9,Amber,Prime Borrowers
C00360,LN197803,55.8,Amber,Prime Borrowers
C00361,LN794981,40.7,Amber,Prime Borrowers
C00362,LN423408,56.9,Amber,High-Risk Borrowers
C00363,LN161967,37.8,Amber,Near-Prime Borrowers
C00365,LN505171,14.3,Green,Prime Borrowers
C00366,LN971099,56.3,Amber,High-Risk Borrowers
C00371,LN640517,41.2,Amber,Prime Borrowers
C00372,LN492493,26.5,Green,Prime Borrowers
C00373,LN481763,45.3,Amber,Prime Borrowers
C00379,LN763725,49.8,Amber,Prime Borrowers
C00382,LN706262,60.3,Amber,High-Risk Borrowers
C00385,LN169365,60.4,Amber,Near-Prime Borrowers
C00386,LN990941,61.0,Amber,Prime Borrowers
C00388,LN393232,40.0,Amber,Prime Borrowers
C00390,LN201529,37.2,Amber,Near-Prime Borrowers
C00392,LN100687,16.7,Green,Prime Borrowers
C00395,LN630139,74.5,Red,High-Risk Borrowers
C00397,LN973142,76.8,Red,High-Risk Borrowers
C00402,LN165899,37.3,Amber,High-Risk Borrowers
C00403,LN276308,6.9,Green,Near-Prime Borrowers
C00407,LN875671,53.0,Amber,High-Risk Borrowers
C00416,LN898507,22.5,Green,Prime Borrowers
C00418,LN791553,54.2,Amber,Prime Borrowers
C00419,LN789279,42.1,Amber,Prime Borrowers
C00421,LN717014,62.5,Amber,Prime Borrowers
C00422,LN192100,15.3,Green,Prime Borrowers
C00423,LN308322,45.0,Amber,Near-Prime Borrowers
C00424,LN120440,63.3,Amber,Near-Prime Borrowers
C00427,LN303555,51.1,Amber,Prime Borrowers
C00429,LN462012,16.1,Green,Prime Borrowers
C00430,LN651347,58.3,Amber,Near-Prime Borrowers
C00435,LN845692,51.0,Amber,High-Risk Borrowers
C00436,LN468690,33.8,Green,Near-Prime Borrowers
C00439,LN530691,20.1,Green,Prime Borrowers
C00440,LN704865,31.0,Green,Prime Borrowers
C00444,LN418732,16.2,Green,Prime Borrowers
C00445,LN358450,16.9,Green,Near-Prime Borrowers
C00446,LN983770,35.6,Amber,High-Risk Borrowers
C00448,LN658794,19.1,Green,Prime Borrowers
C00451,LN790034,38.5,Amber,Prime Borrowers
C00452,LN306598,70.0,Red,High-Risk Borrowers
C00454,LN990415,43.2,Amber,Prime Borrowers
C00455,LN381995,15.2,Green,Prime Borrowers
C00461,LN393055,8.1,Green,Prime Borrowers
C00462,LN336861,55.6,Amber,Prime Borrowers
C00463,LN440086,31.4,Green,Prime Borrowers
C00465,LN825551,15.2,Green,Near-Prime Borrowers
C00468,LN718905,65.0,Red,High-Risk Borrowers
C00470,LN343486,43.7,Amber,Prime Borrowers
C00474,LN997799,34.5,Green,High-Risk Borrowers
C00476,LN172270,14.2,Green,Near-Prime Borrowers
C00477,LN402304,13.7,Green,Prime Borrowers
C00479,LN292991,19.8,Green,Prime Borrowers
C00480,LN655477,15.7,Green,Prime Borrowers
C00481,LN776649,54.7,Amber,Prime Borrowers
C00485,LN692750,69.0,Red,High-Risk Borrowers
C00488,LN678171,43.7,Amber,Prime Borrowers
C00489,LN830276,44.5,Amber,Prime Borrowers
C00491,LN855202,25.1,Green,Prime Borrowers
C00492,LN544625,16.7,Green,Near-Prime Borrowers
C00493,LN593691,38.2,Amber,Prime Borrowers
C00494,LN362274,72.9,Red,High-Risk Borrowers
C00495,LN603659,11.5,Green,Prime Borrowers
C00497,LN974923,31.9,Green,Prime Borrowers
C00498,LN601377,9.1,Green,Near-Prime Borrowers
C00501,LN927027,39.5,Amber,Prime Borrowers
C00504,LN107873,45.2,Amber,Prime Borrowers
C00505,LN916236,55.0,Amber,Prime Borrowers
C00508,LN596061,70.4,Red,Near-Prime Borrowers
C00510,LN266045,25.0,Green,Prime Borrowers
C00511,LN354932,39.0,Amber,Prime Borrowers
C00514,LN985427,42.3,Amber,High-Risk Borrowers
C00515,LN246629,32.0,Green,Near-Prime Borrowers
C00516,LN788609,31.3,Green,Prime Borrowers
C00517,LN654003,62.7,Amber,High-Risk Borrowers
C00519,LN998333,44.0,Amber,Prime Borrowers
C00523,LN282139,44.1,Amber,Prime Borrowers
C00524,LN266372,53.5,Amber,Prime Borrowers
C00525,LN471966,24.2,Green,Prime Borrowers
C00526,LN505046,46.8,Amber,Prime Borrowers
C00527,LN987059,27.1,Green,High-Risk Borrowers
C00529,LN814298,18.7,Green,Near-Prime Borrowers
C00536,LN561146,17.0,Green,Prime Borrowers
C00537,LN869570,11.9,Green,Near-Prime Borrowers
C00539,LN142218,41.8,Amber,Prime Borrowers
C00547,LN359872,62.0,Amber,High-Risk Borrowers
C00548,LN332883,15.9,Green,Prime Borrowers
C00549,LN752936,20.0,Green,Prime Borrowers
C00550,LN269898,10.4,Green,Near-Prime Borrowers
C00552,LN150683,55.9,Amber,Near-Prime Borrowers
C00556,LN529419,32.2,Green,High-Risk Borrowers
C00557,LN402355,43.3,Amber,Near-Prime Borrowers
C00562,LN411889,39.2,Amber,High-Risk Borrowers
C00563,LN394033,37.0,Amber,Prime Borrowers
C00566,LN578511,60.4,Amber,Prime Borrowers
C00570,LN701651,50.2,Amber,Prime Borrowers
C00572,LN367686,48.1,Amber,High-Risk Borrowers
C00573,LN229095,56.9,Amber,Near-Prime Borrowers
C00575,LN630740,41.7,Amber,Prime Borrowers
C00579,LN917376,16.7,Green,Near-Prime Borrowers
C00580,LN190583,19.3,Green,Prime Borrowers
C00581,LN981527,40.2,Amber,Prime Borrowers
C00582,LN126872,41.2,Amber,High-Risk Borrowers
C00584,LN309347,66.6,Red,Prime Borrowers
C00588,LN575687,28.7,Green,Prime Borrowers
C00589,LN679196,69.1,Red,High-Risk Borrowers
C00590,LN607546,16.3,Green,Prime Borrowers
C00592,LN506773,15.1,Green,Prime Borrowers
C00595,LN691130,22.7,Green,High-Risk Borrowers
C00596,LN300080,62.5,Amber,High-Risk Borrowers
C00597,LN399408,10.7,Green,Prime Borrowers
C00598,LN323818,40.9,Amber,Near-Prime Borrowers
C00600,LN979029,20.3,Green,Prime Borrowers
C00602,LN177259,45.5,Amber,High-Risk Borrowers
C00604,LN878671,40.5,Amber,High-Risk Borrowers
C00605,LN715436,48.8,Amber,Prime Borrowers
C00606,LN265027,67.7,Red,Prime Borrowers
C00613,LN602630,42.2,Amber,Prime Borrowers
C00614,LN765953,41.1,Amber,High-Risk Borrowers
C00615,LN331435,68.7,Red,High-Risk Borrowers
C00617,LN194557,15.6,Green,Prime Borrowers
C00621,LN755497,60.0,Amber,Prime Borrowers
C00623,LN575057,37.0,Amber,Prime Borrowers
C00627,LN850990,63.7,Amber,High-Risk Borrowers
C00629,LN939962,43.8,Amber,Prime Borrowers
C00630,LN806944,75.4,Red,High-Risk Borrowers
C00631,LN795619,36.8,Amber,Prime Borrowers
C00632,LN132112,16.8,Green,Prime Borrowers
C00633,LN194842,34.8,Green,Prime Borrowers
C00634,LN467834,39.2,Amber,Near-Prime Borrowers
C00639,LN118333,40.0,Amber,Prime Borrowers
C00642,LN794398,43.5,Amber,High-Risk Borrowers
C00643,LN523900,25.0,Green,Subprime Borrowers
C00648,LN197868,11.5,Green,Prime Borrowers
C00649,LN685409,28.9,Green,Near-Prime Borrowers
C00654,LN375152,57.3,Amber,Prime Borrowers
C00655,LN425079,65.3,Red,High-Risk Borrowers
C00656,LN529176,62.0,Amber,Prime Borrowers
C00658,LN881632,61.3,Amber,Near-Prime Borrowers
C00660,LN937554,6.1,Green,Prime Borrowers
C00669,LN856620,15.3,Green,Near-Prime Borrowers
C00670,LN447556,58.1,Amber,Prime Borrowers
C00673,LN171443,60.1,Amber,Prime Borrowers
C00675,LN776513,38.5,Amber,Near-Prime Borrowers
C00676,LN102937,57.1,Amber,Prime Borrowers
C00677,LN544783,43.2,Amber,Prime Borrowers
C00684,LN945383,10.0,Green,Prime Borrowers
C00686,LN225655,16.7,Green,Prime Borrowers
C00688,LN104663,52.0,Amber,Prime Borrowers
C00689,LN600342,19.2,Green,Near-Prime Borrowers
C00691,LN150711,49.0,Amber,High-Risk Borrowers
C00692,LN899317,15.1,Green,Prime Borrowers
C00694,LN900613,27.1,Green,Prime Borrowers
C00695,LN156473,13.1,Green,Prime Borrowers
C00696,LN779811,51.3,Amber,Prime Borrowers
C00697,LN210987,61.5,Amber,Prime Borrowers
C00699,LN846724,14.8,Green,Prime Borrowers
C00703,LN468780,11.2,Green,Prime Borrowers
C00704,LN471230,31.5,Green,Prime Borrowers
C00705,LN567219,9.5,Green,Prime Borrowers
C00707,LN469103,13.1,Green,Prime Borrowers
C00710,LN471630,28.7,Green,Prime Borrowers
C00711,LN900250,12.5,Green,Prime Borrowers
C00712,LN895608,27.6,Green,Prime Borrowers
C00713,LN318153,11.0,Green,Prime Borrowers
C00716,LN197543,66.7,Red,Prime Borrowers
C00722,LN629225,53.0,Amber,Prime Borrowers
C00725,LN173554,54.1,Amber,High-Risk Borrowers
C00727,LN246519,15.3,Green,Prime Borrowers
C00728,LN503787,42.3,Amber,Prime Borrowers
C00729,LN605769,65.4,Red,Prime Borrowers
C00731,LN781894,30.2,Green,Near-Prime Borrowers
C00732,LN918156,48.2,Amber,Prime Borrowers
C00736,LN786684,48.9,Amber,High-Risk Borrowers
C00741,LN629283,42.3,Amber,Prime Borrowers
C00742,LN306345,14.3,Green,Prime Borrowers
C00744,LN492677,18.6,Green,Prime Borrowers
C00747,LN409056,11.4,Green,Prime Borrowers
C00749,LN607704,26.1,Green,Subprime Borrowers
C00754,LN878717,21.8,Green,Prime Borrowers
C00756,LN339808,47.5,Amber,Prime Borrowers
C00759,LN625174,16.7,Green,Prime Borrowers
C00761,LN466232,41.4,Amber,Prime Borrowers
C00764,LN228825,57.2,Amber,Near-Prime Borrowers
C00766,LN413298,15.9,Green,Prime Borrowers
C00767,LN635706,61.0,Amber,Prime Borrowers
C00768,LN922895,43.7,Amber,Prime Borrowers
C00771,LN274579,31.1,Green,Subprime Borrowers
C00773,LN334752,65.1,Red,High-Risk Borrowers
C00776,LN651621,49.4,Amber,Prime Borrowers
C00777,LN913520,12.3,Green,Prime Borrowers
C00778,LN791273,64.4,Amber,High-Risk Borrowers
C00779,LN729890,18.8,Green,Near-Prime Borrowers
C00780,LN702561,17.5,Green,Prime Borrowers
C00782,LN307679,34.0,Green,High-Risk Borrowers
C00787,LN782494,22.0,Green,Near-Prime Borrowers
C00790,LN829116,39.8,Amber,Prime Borrowers
C00791,LN894607,62.9,Amber,Prime Borrowers
C00792,LN460601,37.4,Amber,Prime Borrowers
C00793,LN600806,50.8,Amber,High-Risk Borrowers
C00794,LN188855,27.7,Green,Prime Borrowers
C00795,LN273043,22.0,Green,Near-Prime Borrowers
C00799,LN785753,32.8,Green,Prime Borrowers
C00800,LN922877,22.9,Green,Near-Prime Borrowers
C00801,LN256482,37.4,Amber,Prime Borrowers
C00802,LN214986,9.1,Green,Near-Prime Borrowers
C00805,LN552031,63.8,Amber,High-Risk Borrowers
C00811,LN252253,45.2,Amber,Prime Borrowers
C00813,LN263812,69.4,Red,High-Risk Borrowers
C00815,LN611906,16.1,Green,Prime Borrowers
C00816,LN185380,24.4,Green,Prime Borrowers
C00820,LN806020,15.5,Green,Prime Borrowers
C00822,LN534015,16.2,Green,Prime Borrowers
C00823,LN523422,68.9,Red,High-Risk Borrowers
C00826,LN423446,44.0,Amber,Prime Borrowers
C00827,LN518030,38.2,Amber,Prime Borrowers
C00828,LN527444,17.4,Green,Near-Prime Borrowers
C00831,LN241411,67.9,Red,High-Risk Borrowers
C00833,LN713721,21.2,Green,Prime Borrowers
C00837,LN537289,37.4,Amber,Prime Borrowers
C00839,LN720386,9.2,Green,Near-Prime Borrowers
C00842,LN628358,63.6,Amber,Near-Prime Borrowers
C00844,LN656306,25.7,Green,Near-Prime Borrowers
C00845,LN646949,17.5,Green,Prime Borrowers
C00847,LN283375,11.8,Green,Prime Borrowers
C00848,LN719919,25.1,Green,Prime Borrowers
C00849,LN157887,26.4,Green,Near-Prime Borrowers
C00851,LN863244,28.0,Green,High-Risk Borrowers
C00854,LN912479,34.3,Green,Prime Borrowers
C00855,LN454798,10.6,Green,Near-Prime Borrowers
C00858,LN294424,42.0,Amber,Near-Prime Borrowers
C00859,LN929774,29.3,Green,Prime Borrowers
C00860,LN857424,14.7,Green,Prime Borrowers
C00861,LN986381,17.3,Green,Prime Borrowers
C00868,LN959967,21.2,Green,Near-Prime Borrowers
C00870,LN479998,49.7,Amber,Prime Borrowers
C00871,LN384538,32.5,Green,Prime Borrowers
C00872,LN105094,32.8,Green,Prime Borrowers
C00873,LN342641,42.6,Amber,Prime Borrowers
C00875,LN794102,53.7,Amber,Near-Prime Borrowers
C00876,LN488650,46.7,Amber,Near-Prime Borrowers
C00877,LN848057,25.6,Green,Prime Borrowers
C00879,LN388301,48.6,Amber,High-Risk Borrowers
C00881,LN614259,32.0,Green,Prime Borrowers
C00882,LN391110,31.3,Green,Prime Borrowers
C00883,LN792237,50.8,Amber,Prime Borrowers
C00886,LN727964,50.4,Amber,Near-Prime Borrowers
C00887,LN397587,36.5,Amber,Prime Borrowers
C00889,LN556350,36.9,Amber,High-Risk Borrowers
C00890,LN267293,36.8,Amber,Prime Borrowers
C00897,LN724130,52.5,Amber,High-Risk Borrowers
C00901,LN324711,53.3,Amber,Prime Borrowers
C00903,LN630326,42.5,Amber,Prime Borrowers
C00905,LN926492,12.7,Green,Prime Borrowers
C00906,LN207886,36.8,Amber,Prime Borrowers
C00908,LN168440,21.0,Green,Near-Prime Borrowers
C00910,LN179553,51.9,Amber,Near-Prime Borrowers
C00911,LN860217,18.0,Green,Prime Borrowers
C00912,LN268508,74.5,Red,High-Risk Borrowers
C00918,LN168406,14.8,Green,Prime Borrowers
C00919,LN928000,30.2,Green,Near-Prime Borrowers
C00921,LN758065,38.9,Amber,Prime Borrowers
C00922,LN829789,13.8,Green,Prime Borrowers
C00924,LN779376,17.5,Green,Prime Borrowers
C00925,LN476474,15.2,Green,Near-Prime Borrowers
C00926,LN757392,47.7,Amber,High-Risk Borrowers
C00927,LN972537,12.7,Green,Near-Prime Borrowers
C00928,LN566413,10.7,Green,Near-Prime Borrowers
C00929,LN685896,46.0,Amber,Near-Prime Borrowers
C00930,LN141804,27.3,Green,Near-Prime Borrowers
C00933,LN150362,12.8,Green,Prime Borrowers
C00934,LN891862,48.5,Amber,Prime Borrowers
C00936,LN141711,29.1,Green,Prime Borrowers
C00937,LN918652,12.3,Green,Near-Prime Borrowers
C00942,LN572057,38.6,Amber,Prime Borrowers
C00944,LN980634,10.7,Green,Prime Borrowers
C00945,LN792370,24.7,Green,Prime Borrowers
C00946,LN837812,66.3,Red,Prime Borrowers
C00949,LN119218,18.2,Green,Near-Prime Borrowers
C00950,LN883676,27.3,Green,Prime Borrowers
C00956,LN265151,11.3,Green,Near-Prime Borrowers
C00958,LN109842,48.9,Amber,High-Risk Borrowers
C00960,LN481894,12.3,Green,Prime Borrowers
C00966,LN507450,45.3,Amber,Prime Borrowers
C00968,LN604818,7.1,Green,Near-Prime Borrowers
C00971,LN844626,8.6,Green,Prime Borrowers
C00972,LN179246,38.9,Amber,High-Risk Borrowers
C00975,LN114863,28.1,Green,Near-Prime Borrowers
C00977,LN661744,14.4,Green,Prime Borrowers
C00981,LN219742,11.2,Green,Prime Borrowers
C00983,LN414056,16.7,Green,Prime Borrowers
C00986,LN227440,17.9,Green,Near-Prime Borrowers
C00988,LN615136,71.8,Red,High-Risk Borrowers
C00991,LN898355,30.9,Green,High-Risk Borrowers
C00992,LN151301,36.2,Amber,Prime Borrowers
C00993,LN332758,53.4,Amber,High-Risk Borrowers
C00994,LN940080,61.6,Amber,Prime Borrowers
C00995,LN750839,47.6,Amber,Prime Borrowers
C00998,LN493731,12.2,Green,Prime Borrowers
C01001,LN901556,21.4,Green,Prime Borrowers
C01002,LN980253,13.1,Green,Prime Borrowers
C01003,LN625801,48.6,Amber,Near-Prime Borrowers
C01007,LN110523,16.7,Green,Prime Borrowers
C01009,LN558103,14.6,Green,Prime Borrowers
C01016,LN910402,43.0,Amber,High-Risk Borrowers
C01019,LN590889,33.5,Green,Prime Borrowers
C01020,LN194432,13.9,Green,Near-Prime Borrowers
C01022,LN615726,48.6,Amber,Near-Prime Borrowers
C01024,LN202936,44.5,Amber,Prime Borrowers
C01025,LN644779,35.5,Amber,Prime Borrowers
C01026,LN441585,22.0,Green,Prime Borrowers
C01031,LN894720,64.4,Amber,High-Risk Borrowers
C01036,LN757928,45.5,Amber,Near-Prime Borrowers
C01037,LN766583,9.6,Green,Prime Borrowers
C01039,LN960779,13.1,Green,Near-Prime Borrowers
C01040,LN585987,15.3,Green,Prime Borrowers
C01041,LN249160,16.0,Green,Prime Borrowers
C01042,LN495062,78.7,Red,High-Risk Borrowers
C01045,LN740526,13.3,Green,Prime Borrowers
C01051,LN138960,40.5,Amber,Prime Borrowers
C01054,LN889658,16.1,Green,Prime Borrowers
C01056,LN199177,10.7,Green,Prime Borrowers
C01059,LN287679,49.2,Amber,High-Risk Borrowers
C01062,LN933020,59.1,Amber,Prime Borrowers
C01067,LN835398,14.7,Green,Prime Borrowers
C01068,LN560235,5.8,Green,Prime Borrowers
C01070,LN811170,64.2,Amber,High-Risk Borrowers
C01071,LN163629,76.7,Red,Prime Borrowers
C01074,LN226081,14.0,Green,Prime Borrowers
C01077,LN888895,13.5,Green,Prime Borrowers
C01080,LN890029,20.7,Green,Prime Borrowers
C01081,LN492737,22.7,Green,Prime Borrowers
C01084,LN170769,41.5,Amber,High-Risk Borrowers
C01085,LN396484,16.1,Green,Prime Borrowers
C01088,LN367244,24.2,Green,Near-Prime Borrowers
C01091,LN902473,18.3,Green,Near-Prime Borrowers
C01094,LN303429,28.9,Green,Prime Borrowers
C01096,LN452943,13.6,Green,Prime Borrowers
C01097,LN484311,14.7,Green,Prime Borrowers
C01098,LN631285,70.9,Red,High-Risk Borrowers
C01102,LN316344,30.8,Green,Prime Borrowers
C01106,LN104777,27.6,Green,Near-Prime Borrowers
C01110,LN533146,16.1,Green,Prime Borrowers
C01111,LN856931,9.3,Green,Near-Prime Borrowers
C01112,LN137693,20.5,Green,Near-Prime Borrowers
C01113,LN160124,30.0,Green,Near-Prime Borrowers
C01114,LN699423,63.8,Amber,High-Risk Borrowers
C01115,LN821020,63.9,Amber,High-Risk Borrowers
C01116,LN526057,70.6,Red,High-Risk Borrowers
C01117,LN382663,9.6,Green,Prime Borrowers
C01120,LN557734,21.0,Green,Near-Prime Borrowers
C01121,LN440422,44.5,Amber,Prime Borrowers
C01122,LN575623,21.8,Green,Prime Borrowers
C01123,LN608975,67.6,Red,Near-Prime Borrowers
C01124,LN459432,41.4,Amber,Near-Prime Borrowers
C01126,LN630520,49.9,Amber,High-Risk Borrowers
C01127,LN158242,31.4,Green,Prime Borrowers
C01130,LN451329,11.7,Green,Near-Prime Borrowers
C01132,LN972201,43.3,Amber,Prime Borrowers
