loan_id,customer_id,loan_purpose,requested_amount,approved_amount,loan_tenure_months,interest_rate,emi,emi_to_income_ratio,application_date,risk_score,underwriting_score,default_probability,risk_category,approved,rejection_reason,loan_to_income_ratio,loan_status,defaulted
LN227803,C00066,Education,284667,215620,36,12.57,7220.51,0.32,2026-01-01,68,32,0.428,High,1,N/A,0.79,Closed,0
LN809550,C00067,Personal,1424940,1006378,12,17.42,91987.17,0.39,2025-05-01,47,53,0.302,Medium,1,N/A,0.35,Defaulted,1
LN253954,C00068,Vehicle,3814336,2704352,36,9.21,86262.23,0.69,2024-07-03,38,62,0.248,Medium,0,Insufficient Repayment Capacity,1.79,Rejected,0
LN202175,C00069,Business,1789164,1306777,48,10.26,33306.65,0.19,2025-07-18,42,58,0.272,Medium,1,N/A,0.61,Active,0
LN268652,C00070,Home Renovation,5952506,4214403,48,11.98,110940.01,0.74,2024-06-10,73,27,0.458,High,0,Insufficient Repayment Capacity,2.35,Rejected,0
LN777602,C00071,Medical,2130003,1650562,24,15.44,80375.7,0.78,2025-10-18,40,60,0.26,Medium,0,Insufficient Repayment Capacity,1.34,Rejected,0
LN612014,C00072,Education,104023,83409,48,13.4,2254.25,0.43,2024-11-02,93,7,0.578,High,0,High Risk,1.32,Rejected,0
LN370218,C00073,Personal,622772,544719,36,13.56,18501.01,0.2,2024-09-24,21,79,0.146,Low,1,N/A,0.49,Active,0
LN239944,C00074,Home Renovation,3447277,2685144,60,9.8,56787.49,0.23,2024-08-04,40,60,0.26,Medium,1,N/A,0.91,Active,0
LN922319,C00075,Personal,412931,378839,36,17.34,13570.83,0.36,2025-12-30,25,75,0.17,Medium,1,N/A,0.85,Closed,0
LN878443,C00076,Personal,999386,926277,36,17.34,33181.25,1.05,2024-06-18,63,37,0.398,High,0,Insufficient Repayment Capacity,2.43,Rejected,0
LN512668,C00077,Business,2894145,2205592,36,10.71,71905.73,0.84,2025-11-12,63,37,0.398,High,0,Insufficient Repayment Capacity,2.14,Rejected,0
LN753581,C00078,Vehicle,1561923,1492659,24,8.41,67788.39,1.15,2025-02-10,58,42,0.368,High,0,Insufficient Repayment Capacity,2.12,Rejected,0
LN896025,C00079,Personal,180680,174281,36,24.0,6837.54,0.05,2025-11-03,20,80,0.14,Low,1,N/A,0.11,Defaulted,1
LN651715,C00080,Personal,1638342,1604689,36,21.58,60935.69,0.72,2025-08-07,45,55,0.29,Medium,0,Insufficient Repayment Capacity,1.57,Rejected,0
LN926817,C00081,Vehicle,5404629,4269197,60,8.51,87609.69,0.68,2025-09-28,73,27,0.458,High,0,Insufficient Repayment Capacity,2.74,Rejected,0
LN493366,C00082,Education,390384,367005,48,10.86,9460.5,0.38,2024-08-09,70,30,0.44,High,1,N/A,1.23,Closed,0
LN557293,C00083,Business,408290,397742,60,11.6,8767.36,0.09,2024-12-13,20,80,0.14,Low,1,N/A,0.36,Active,0
LN899686,C00084,Vehicle,3341078,3271858,36,8.54,103345.15,0.88,2025-11-01,63,37,0.398,High,0,Insufficient Repayment Capacity,2.33,Rejected,0
LN741507,C00085,Vehicle,1691102,1381430,36,11.37,45468.68,0.98,2025-10-05,53,47,0.338,High,0,Insufficient Repayment Capacity,2.49,Rejected,0
LN615274,C00086,Business,300000,223487,48,15.45,6270.91,2.2,2025-12-02,100,0,0.62,High,0,High Risk,6.55,Rejected,0
LN442496,C00087,Personal,2033553,1501421,12,20.26,139270.29,2.13,2026-02-10,68,32,0.428,High,0,Insufficient Repayment Capacity,1.91,Rejected,0
LN868085,C00088,Vehicle,1978486,1406924,36,9.68,45186.4,0.28,2026-05-08,23,77,0.158,Low,1,N/A,0.73,Active,0
LN411921,C00089,Home Renovation,149842,135382,60,10.58,2915.26,0.11,2025-08-31,40,60,0.26,Medium,1,N/A,0.43,Closed,0
LN335105,C00090,Vehicle,2048992,1950489,36,10.13,63055.91,0.73,2024-09-03,73,27,0.458,High,0,Insufficient Repayment Capacity,1.87,Rejected,0
LN285515,C00091,Business,2929554,2067986,48,14.72,57260.51,0.49,2024-11-21,37,63,0.242,Medium,1,N/A,1.48,Active,0
LN494943,C00092,Home Renovation,4918259,3929058,60,11.14,85701.82,0.7,2025-05-15,61,39,0.386,High,0,Insufficient Repayment Capacity,2.69,Rejected,0
LN920217,C00093,Business,1127411,1071213,36,15.3,37291.52,0.91,2024-12-19,51,49,0.326,High,0,Insufficient Repayment Capacity,2.18,Rejected,0
LN987671,C00094,Medical,2736268,1976897,36,18.46,71926.58,1.1,2025-09-10,53,47,0.338,High,0,Insufficient Repayment Capacity,2.52,Rejected,0
LN812546,C00095,Personal,551551,448483,12,14.49,40371.47,0.64,2026-02-22,43,57,0.278,Medium,0,Insufficient Repayment Capacity,0.6,Rejected,0
LN643426,C00096,Home Renovation,2677588,2480022,48,11.65,64883.12,0.51,2025-11-26,55,45,0.35,High,1,N/A,1.62,Active,0
LN648652,C00097,Personal,238351,192139,12,15.41,17379.34,0.65,2024-12-31,83,17,0.518,High,0,High Risk,0.6,Rejected,0
LN978087,C00098,Medical,913982,833641,24,15.01,40424.42,1.29,2024-09-02,43,57,0.278,Medium,0,Insufficient Repayment Capacity,2.21,Rejected,0
LN411503,C00099,Home Renovation,1830509,1560279,60,8.11,31719.04,0.13,2025-04-15,30,70,0.2,Medium,1,N/A,0.54,Defaulted,1
LN340590,C00100,Personal,4552092,3272781,12,21.0,304740.99,2.86,2024-11-30,68,32,0.428,High,0,Insufficient Repayment Capacity,2.56,Rejected,0
LN342446,C00101,Business,2101352,2044212,36,14.64,70503.43,0.4,2024-11-01,42,58,0.272,Medium,1,N/A,0.98,Closed,0
LN178136,C00102,Education,105407,82610,36,8.3,2600.15,0.38,2024-06-23,82,18,0.512,High,0,High Risk,1.01,Rejected,0
LN770283,C00103,Personal,1850759,1536568,24,22.13,79812.99,1.56,2025-08-13,58,42,0.368,High,0,Insufficient Repayment Capacity,2.5,Rejected,0
LN345142,C00104,Medical,1536491,1466927,12,13.66,131476.59,1.02,2026-03-20,55,45,0.35,High,0,Insufficient Repayment Capacity,0.95,Rejected,0
LN322642,C00105,Medical,6061805,5016506,12,10.35,441847.59,2.99,2024-10-10,38,62,0.248,Medium,0,Insufficient Repayment Capacity,2.82,Rejected,0
LN730557,C00106,Vehicle,1108300,1074488,60,11.32,23533.81,0.17,2024-10-29,30,70,0.2,Medium,1,N/A,0.65,Active,0
LN220924,C00107,Medical,2580760,2548679,36,17.4,91375.54,0.98,2025-07-20,61,39,0.386,High,0,Insufficient Repayment Capacity,2.27,Rejected,0
LN976802,C00108,Home Renovation,4338278,4271372,60,11.08,93040.48,0.77,2025-05-31,48,52,0.308,Medium,0,Insufficient Repayment Capacity,2.94,Rejected,0
LN664385,C00109,Vehicle,1861504,1702295,36,11.8,56378.08,0.56,2024-11-16,37,63,0.242,Medium,1,N/A,1.4,Defaulted,1
LN993299,C00110,Home Renovation,2874023,2097278,60,9.78,44334.27,0.7,2024-11-14,63,37,0.398,High,0,Insufficient Repayment Capacity,2.75,Rejected,0
LN314820,C00111,Education,415718,398592,60,11.94,8854.38,0.41,2026-03-22,93,7,0.578,High,0,High Risk,1.55,Rejected,0
LN329069,C00112,Medical,1141968,979077,36,13.24,33102.27,0.57,2025-03-01,55,45,0.35,High,0,Insufficient Repayment Capacity,1.4,Rejected,0
LN862351,C00113,Personal,364027,295889,36,12.23,9860.28,0.08,2026-02-24,35,65,0.23,Medium,1,N/A,0.2,Defaulted,1
LN737725,C00114,Medical,4328049,4020252,12,17.58,367773.57,3.07,2025-07-16,63,37,0.398,High,0,Insufficient Repayment Capacity,2.8,Rejected,0
LN297931,C00115,Business,2334818,2166230,48,12.65,57738.93,0.82,2025-03-30,28,72,0.188,Medium,0,Insufficient Repayment Capacity,2.58,Rejected,0
LN243814,C00116,Business,6194181,5141920,60,12.15,114769.31,0.63,2026-03-30,58,42,0.368,High,0,Insufficient Repayment Capacity,2.37,Rejected,0
LN295472,C00117,Home Renovation,1794285,1554036,48,11.65,40657.18,0.32,2024-12-30,42,58,0.272,Medium,1,N/A,1.01,Active,0
LN552921,C00118,Vehicle,1210114,1048013,48,9.39,26274.36,0.7,2026-03-14,73,27,0.458,High,0,Insufficient Repayment Capacity,2.32,Rejected,0
LN220601,C00119,Home Renovation,286291,220034,48,9.33,5510.1,0.04,2024-12-14,3,97,0.038,Low,1,N/A,0.13,Active,0
LN990620,C00120,Medical,5301630,4165916,36,12.7,139764.96,0.99,2025-02-09,41,59,0.266,Medium,0,Insufficient Repayment Capacity,2.47,Rejected,0
LN127326,C00121,Business,4549250,4145786,36,11.14,136002.74,1.05,2024-08-31,78,22,0.488,High,0,Insufficient Repayment Capacity,2.67,Rejected,0
LN830194,C00122,Vehicle,2611960,2405172,48,8.14,58875.46,0.42,2026-04-01,20,80,0.14,Low,1,N/A,1.44,Defaulted,1
LN973074,C00123,Medical,552724,436131,24,16.33,21423.16,0.2,2024-08-22,18,82,0.128,Low,1,N/A,0.33,Closed,0
LN218627,C00124,Business,566412,436530,48,12.5,11602.97,0.13,2025-03-31,47,53,0.302,Medium,1,N/A,0.42,Defaulted,1
LN714495,C00125,Home Renovation,514490,420532,60,9.48,8827.85,0.15,2025-02-14,18,82,0.128,Low,1,N/A,0.6,Closed,0
LN480265,C00126,Vehicle,1966606,1485661,36,8.55,46933.09,0.38,2025-10-30,10,90,0.08,Low,1,N/A,1.01,Closed,0
LN838440,C00127,Medical,8249357,6727675,12,18.71,619068.75,2.86,2025-04-04,51,49,0.326,High,0,Insufficient Repayment Capacity,2.59,Rejected,0
LN965275,C00128,Vehicle,1166139,1150043,48,9.56,28925.65,0.28,2025-12-19,15,85,0.11,Low,1,N/A,0.93,Closed,0
LN418498,C00129,Medical,338476,241319,12,13.6,21621.95,0.13,2024-10-23,47,53,0.302,Medium,1,N/A,0.12,Active,0
LN324934,C00130,Personal,1772472,1416178,24,23.55,74557.19,0.61,2025-05-20,55,45,0.35,High,0,Insufficient Repayment Capacity,0.96,Rejected,0
LN101437,C00131,Business,1619083,1483282,48,9.94,37577.14,0.31,2024-08-09,32,68,0.212,Medium,1,N/A,1.02,Active,0
LN937867,C00132,Medical,4629530,3941716,24,19.75,200135.73,1.51,2025-09-16,58,42,0.368,High,0,Insufficient Repayment Capacity,2.48,Rejected,0
LN169034,C00133,Education,146207,137533,48,10.97,3552.61,0.17,2024-07-27,58,42,0.368,High,1,N/A,0.55,Closed,0
LN103600,C00134,Business,882966,727206,48,14.02,19879.27,0.37,2024-08-27,33,67,0.218,Medium,1,N/A,1.12,Defaulted,1
LN349264,C00135,Vehicle,200000,140282,36,11.51,4626.61,0.43,2024-06-23,98,2,0.608,High,0,High Risk,1.09,Rejected,0
LN420766,C00136,Education,337772,291922,48,10.72,7505.24,0.44,2026-03-12,55,45,0.35,High,1,N/A,1.42,Active,0
LN144947,C00137,Personal,530706,494846,24,19.19,24990.21,0.9,2026-03-30,53,47,0.338,High,0,Insufficient Repayment Capacity,1.49,Rejected,0
LN261947,C00138,Medical,3571042,3376743,36,16.14,118949.79,0.87,2024-10-28,58,42,0.368,High,0,Insufficient Repayment Capacity,2.07,Rejected,0
LN446880,C00139,Personal,89305,83471,24,20.67,4275.69,0.34,2024-07-20,68,32,0.428,High,1,N/A,0.56,Defaulted,1
LN466632,C00140,Personal,3111870,2328468,36,11.7,77005.25,0.66,2025-10-16,45,55,0.29,Medium,0,Insufficient Repayment Capacity,1.66,Rejected,0
LN768972,C00141,Vehicle,1920669,1625095,60,8.4,33263.04,0.21,2024-07-04,18,82,0.128,Low,1,N/A,0.84,Active,0
LN273145,C00142,Personal,3952546,3238174,24,13.86,155259.99,1.31,2024-12-25,68,32,0.428,High,0,Insufficient Repayment Capacity,2.29,Rejected,0
LN290590,C00143,Education,615652,446006,48,8.65,11024.9,0.38,2024-10-22,55,45,0.35,High,1,N/A,1.28,Closed,0
LN404980,C00144,Business,300000,253784,48,17.32,7365.03,1.2,2025-03-23,100,0,0.62,High,0,High Risk,3.45,Rejected,0
LN602434,C00145,Education,175694,169239,36,13.49,5742.36,0.38,2024-08-02,80,20,0.5,High,1,N/A,0.93,Defaulted,1
LN302677,C00146,Business,707180,593537,60,10.82,12851.72,0.17,2025-10-20,35,65,0.23,Medium,1,N/A,0.67,Closed,0
LN287436,C00147,Home Renovation,74403,67335,60,13.65,1554.58,0.11,2025-07-03,100,0,0.62,High,0,High Risk,0.4,Rejected,0
LN643172,C00148,Personal,138999,99194,24,16.43,4877.25,0.19,2025-01-18,68,32,0.428,High,1,N/A,0.32,Closed,0
LN682460,C00149,Home Renovation,1995171,1683014,48,9.85,42564.45,0.32,2025-07-03,37,63,0.242,Medium,1,N/A,1.04,Closed,0
LN934603,C00150,Medical,5388069,4214599,36,17.03,150324.88,1.12,2025-05-03,38,62,0.248,Medium,0,Insufficient Repayment Capacity,2.62,Rejected,0
LN361938,C00151,Medical,198803,187579,36,18.82,6858.84,0.09,2025-06-05,25,75,0.17,Medium,1,N/A,0.22,Closed,0
LN675294,C00152,Personal,280297,255902,24,25.06,13665.58,0.98,2025-11-20,93,7,0.578,High,0,High Risk,1.53,Rejected,0
LN580365,C00153,Personal,1810511,1607797,24,22.22,83584.32,0.68,2024-06-28,20,80,0.14,Low,0,Insufficient Repayment Capacity,1.09,Rejected,0
LN271234,C00154,Personal,1442922,1429071,12,23.09,134503.82,2.05,2025-04-03,53,47,0.338,High,0,Insufficient Repayment Capacity,1.82,Rejected,0
LN230945,C00155,Home Renovation,2895171,2043030,60,10.37,43781.23,0.4,2025-08-20,55,45,0.35,High,1,N/A,1.55,Closed,0
LN906889,C00156,Business,713607,621752,48,14.88,17266.03,0.15,2024-07-03,18,82,0.128,Low,1,N/A,0.45,Active,0
LN869144,C00157,Home Renovation,9123178,7733014,48,8.52,190678.7,0.89,2025-11-19,53,47,0.338,High,0,Insufficient Repayment Capacity,3.01,Rejected,0
LN637480,C00158,Home Renovation,50000,46716,60,10.7,1008.74,0.58,2025-01-16,100,0,0.62,High,0,High Risk,2.24,Rejected,0
LN238216,C00159,Vehicle,200000,174577,36,13.68,5939.53,0.69,2025-06-30,100,0,0.62,High,0,High Risk,1.69,Rejected,0
LN350942,C00160,Medical,171316,144617,12,13.66,12961.62,0.2,2024-09-02,20,80,0.14,Low,1,N/A,0.18,Active,0
LN274490,C00161,Business,2752121,2703572,60,11.93,60043.88,0.66,2026-03-02,43,57,0.278,Medium,0,Insufficient Repayment Capacity,2.47,Rejected,0
LN403689,C00162,Business,952505,943237,48,10.19,24009.09,0.52,2024-09-10,30,70,0.2,Medium,1,N/A,1.69,Defaulted,1
LN535816,C00163,Business,653917,516716,48,14.54,14260.39,0.39,2025-06-02,32,68,0.212,Medium,1,N/A,1.19,Active,0
LN484043,C00164,Education,292999,291984,60,10.36,6255.64,0.35,2026-05-13,100,0,0.62,High,0,High Risk,1.37,Rejected,0
LN434120,C00165,Personal,5447176,5186738,12,13.45,464361.07,3.15,2025-05-18,46,54,0.296,Medium,0,Insufficient Repayment Capacity,2.93,Rejected,0
LN462547,C00166,Personal,217725,202432,36,20.63,7588.24,0.24,2026-05-23,47,53,0.302,Medium,1,N/A,0.54,Active,0
LN939268,C00167,Medical,1096197,877134,24,14.26,42221.55,0.35,2025-08-29,37,63,0.242,Medium,1,N/A,0.61,Active,0
LN347047,C00168,Vehicle,1701801,1291134,24,11.43,60435.05,0.94,2024-10-01,60,40,0.38,High,0,Insufficient Repayment Capacity,1.68,Rejected,0
LN661868,C00169,Business,2264079,2110232,36,10.4,68488.24,1.15,2024-10-11,53,47,0.338,High,0,Insufficient Repayment Capacity,2.96,Rejected,0
LN607462,C00170,Vehicle,1416702,1319972,36,10.31,42784.15,1.3,2025-08-24,65,35,0.41,High,0,Insufficient Repayment Capacity,3.33,Rejected,0
LN808861,C00171,Education,280047,275185,36,9.85,8860.08,0.4,2026-06-03,51,49,0.326,High,1,N/A,1.05,Defaulted,1
LN392534,C00172,Home Renovation,120402,87502,60,11.72,1934.08,0.04,2025-12-15,30,70,0.2,Medium,1,N/A,0.16,Active,0
LN717147,C00173,Vehicle,2958129,2712810,48,8.3,66610.3,0.76,2025-11-23,86,14,0.536,High,0,High Risk,2.58,Rejected,0
LN997187,C00174,Business,794839,692594,48,11.42,18042.05,0.29,2024-12-29,20,80,0.14,Low,1,N/A,0.94,Closed,0
LN203664,C00175,Education,109734,101237,60,9.77,2139.55,0.37,2026-04-09,43,57,0.278,Medium,1,N/A,1.46,Closed,0
LN482523,C00176,Vehicle,2035020,1885579,48,9.83,47669.36,0.74,2024-12-02,51,49,0.326,High,0,Insufficient Repayment Capacity,2.46,Rejected,0
LN983693,C00177,Medical,6703649,5644999,36,18.48,205442.08,0.85,2024-10-11,55,45,0.35,High,0,Insufficient Repayment Capacity,1.94,Rejected,0
LN696203,C00178,Personal,4091226,3489238,24,18.93,175769.02,2.03,2024-07-24,50,50,0.32,High,0,Insufficient Repayment Capacity,3.36,Rejected,0
LN996987,C00179,Business,553674,403199,36,13.29,13641.76,0.13,2025-12-11,13,87,0.098,Low,1,N/A,0.31,Active,0
LN331345,C00180,Education,375867,285235,36,12.2,9501.15,0.46,2025-08-10,58,42,0.368,High,1,N/A,1.15,Defaulted,1
LN271963,C00181,Medical,877676,719982,12,17.1,65699.95,0.44,2024-11-03,10,90,0.08,Low,1,N/A,0.41,Closed,0
LN447253,C00182,Vehicle,1401233,1074250,48,9.1,26783.79,0.19,2025-04-16,13,87,0.098,Low,1,N/A,0.64,Active,0
LN928337,C00183,Vehicle,2553280,1892124,36,10.6,61587.91,0.69,2025-03-03,55,45,0.35,High,0,Insufficient Repayment Capacity,1.78,Rejected,0
LN772839,C00184,Business,820242,658394,36,10.99,21551.86,0.36,2025-05-05,32,68,0.212,Medium,1,N/A,0.92,Defaulted,1
LN536748,C00185,Medical,54774,46175,36,17.65,1661.24,0.16,2024-06-06,91,9,0.566,High,0,High Risk,0.37,Rejected,0
