customer_id,month,avg_monthly_inflow,avg_monthly_outflow,net_cash_flow,cash_flow_consistency_score,balance_volatility,spending_shock_flag,overdraft_flag
C00016,3,2857,9311,-6454,36,0.54,1,1
C00016,4,2070,4900,-2830,48,0.61,0,1
C00016,5,1843,5244,-3401,55,0.76,0,1
C00016,6,3881,5341,-1460,56,0.88,0,1
C00016,7,5335,4281,1054,46,0.47,0,0
C00016,8,3004,4100,-1096,50,0.87,0,1
C00016,9,5712,5084,628,47,0.63,0,0
C00016,10,4192,5412,-1220,54,0.57,0,1
C00016,11,3568,3961,-393,51,0.73,0,1
C00016,12,4824,4882,-58,50,0.89,0,1
C00017,1,116667,69190,47477,80,0.09,0,0
C00017,2,121750,69642,52108,78,0.09,0,0
C00017,3,126476,61774,64702,78,0.22,0,0
C00017,4,120529,54863,65666,77,0.08,0,0
C00017,5,119355,50870,68485,83,0.18,0,0
C00017,6,120540,54122,66418,85,0.25,0,0
C00017,7,126785,51434,75351,80,0.1,0,0
C00017,8,124190,66073,58117,76,0.12,0,0
C00017,9,117226,53101,64125,82,0.09,0,0
C00017,10,124624,49029,75595,76,0.09,0,0
C00017,11,119859,50086,69773,78,0.07,0,0
C00017,12,120460,70517,49943,79,0.2,0,0
C00018,1,309353,197874,111479,69,0.31,0,0
C00018,2,272670,186025,86645,74,0.26,0,0
C00018,3,245151,191243,53908,71,0.27,0,0
C00018,4,177825,187736,-9911,71,0.36,0,1
C00018,5,234470,217267,17203,72,0.39,0,0
C00018,6,188231,186438,1793,71,0.44,0,0
C00018,7,198952,191728,7224,74,0.4,0,0
C00018,8,203984,164539,39445,69,0.25,0,0
C00018,9,282655,214962,67693,75,0.36,0,0
C00018,10,226236,150749,75487,71,0.32,0,0
C00018,11,194491,185357,9134,70,0.22,0,0
C00018,12,235331,171505,63826,72,0.22,0,0
C00019,1,67391,32797,34594,95,0.22,0,0
C00019,2,70061,26914,43147,93,0.34,0,0
C00019,3,72189,24774,47415,97,0.47,0,0
C00019,4,73182,24332,48850,88,0.22,0,0
C00019,5,71615,34925,36690,96,0.4,0,0
C00019,6,73052,23791,49261,97,0.2,0,0
C00019,7,73503,28726,44777,92,0.38,0,0
C00019,8,68232,33710,34522,91,0.33,0,0
C00019,9,70447,25036,45411,97,0.4,0,0
C00019,10,73899,24345,49554,92,0.45,0,0
C00019,11,70233,25983,44250,96,0.23,0,0
C00019,12,72173,28651,43522,95,0.46,0,0
C00020,1,52885,47677,5208,68,0.28,1,0
C00020,2,55209,31126,24083,86,0.45,0,0
C00020,3,56187,42140,14047,83,0.29,0,0
C00020,4,55221,33975,21246,80,0.36,0,0
C00020,5,55577,39186,16391,86,0.26,0,0
C00020,6,53402,32739,20663,81,0.44,0,0
C00020,7,55195,38676,16519,81,0.4,0,0
C00020,8,54812,77138,-22326,73,0.38,1,1
C00020,9,55967,39317,16650,79,0.32,0,0
C00020,10,54787,29868,24919,86,0.41,0,0
C00020,11,52466,41580,10886,87,0.49,0,0
C00020,12,56155,37684,18471,81,0.21,0,0
C00021,1,99299,41548,57751,98,0.45,0,0
C00021,2,103425,36989,66436,94,0.3,0,0
C00021,3,101622,49329,52293,96,0.3,0,0
C00021,4,100036,64470,35566,78,0.38,1,0
C00021,5,98474,53156,45318,96,0.47,0,0
C00021,6,97912,45289,52623,98,0.21,0,0
C00021,7,95952,40360,55592,100,0.21,0,0
C00021,8,100809,45741,55068,98,0.31,0,0
C00021,9,102620,51346,51274,90,0.43,0,0
C00021,10,104094,42976,61118,90,0.25,0,0
C00021,11,96243,41258,54985,95,0.42,0,0
C00021,12,103562,51819,51743,92,0.43,0,0
C00022,1,125030,75046,49984,70,0.2,0,0
C00022,2,175062,57636,117426,68,0.49,0,0
C00022,3,121092,71756,49336,74,0.31,0,0
C00022,4,145280,82062,63218,74,0.27,0,0
C00022,5,171428,58683,112745,70,0.32,0,0
C00022,6,123325,74730,48595,67,0.42,0,0
C00022,7,123376,64988,58388,70,0.41,0,0
C00022,8,171667,76151,95516,71,0.35,0,0
C00022,9,121618,57836,63782,70,0.37,0,0
C00022,10,131076,79348,51728,75,0.48,0,0
C00022,11,162792,57788,105004,72,0.44,0,0
C00022,12,161104,65577,95527,66,0.2,0,0
C00023,1,42852,25235,17617,74,0.25,0,0
C00023,2,44043,24344,19699,75,0.45,0,0
C00023,3,43842,25535,18307,75,0.38,0,0
C00023,4,46793,31773,15020,79,0.42,0,0
C00023,5,43762,24095,19667,71,0.42,0,0
C00023,6,46896,34650,12246,76,0.36,0,0
C00023,7,44405,32241,12164,80,0.5,0,0
C00023,8,46179,58700,-12521,57,0.3,1,1
C00023,9,43987,27678,16309,71,0.45,0,0
C00023,10,43556,34439,9117,80,0.49,0,0
C00023,11,43292,26813,16479,70,0.38,0,0
C00023,12,46197,71942,-25745,63,0.26,1,1
C00024,1,99409,55499,43910,85,0.3,0,0
C00024,2,98392,46647,51745,85,0.25,0,0
C00024,3,97319,56988,40331,79,0.26,0,0
C00024,4,94070,52705,41365,81,0.22,0,0
C00024,5,92654,48629,44025,81,0.25,0,0
C00024,6,91859,56347,35512,80,0.21,0,0
C00024,7,91300,47897,43403,82,0.42,0,0
C00024,8,94473,49094,45379,79,0.37,0,0
C00024,9,100071,60877,39194,78,0.26,0,0
C00024,10,98309,49444,48865,85,0.2,0,0
C00024,11,99590,52571,47019,82,0.3,0,0
C00024,12,100654,55611,45043,80,0.35,0,0
C00025,1,141605,197359,-55754,71,0.3,1,1
C00025,2,142515,90270,52245,86,0.34,0,0
C00025,3,153722,102063,51659,80,0.49,0,0
C00025,4,149480,86076,63404,78,0.28,0,0
C00025,5,141011,86417,54594,79,0.23,0,0
C00025,6,140897,106874,34023,87,0.43,0,0
C00025,7,153792,251072,-97280,69,0.23,1,1
C00025,8,144962,104137,40825,83,0.22,0,0
C00025,9,141586,96373,45213,81,0.24,0,0
C00025,10,154018,75711,78307,80,0.45,0,0
C00025,11,151276,94455,56821,78,0.42,0,0
C00025,12,144720,83515,61205,86,0.46,0,0
C00026,1,42891,25270,17621,84,0.15,0,0
C00026,2,43602,19652,23950,83,0.19,0,0
C00026,3,42413,29048,13365,78,0.2,0,0
C00026,4,42804,27760,15044,79,0.13,0,0
C00026,5,45306,21700,23606,82,0.21,0,0
C00026,6,43422,22776,20646,84,0.21,0,0
C00026,7,41641,28228,13413,81,0.09,0,0
C00026,8,42518,25390,17128,76,0.13,0,0
C00026,9,42331,23143,19188,84,0.16,0,0
C00026,10,42609,28132,14477,80,0.14,0,0
C00026,11,43603,26842,16761,85,0.24,0,0
C00026,12,41152,28357,12795,80,0.08,0,0
C00027,1,17323,13729,3594,81,0.86,0,0
C00027,2,10519,17384,-6865,77,0.58,0,1
C00027,3,21324,28297,-6973,67,0.44,1,1
C00027,4,17930,18649,-719,79,0.67,0,1
C00027,5,9429,15381,-5952,84,0.84,0,1
C00027,6,12663,12828,-165,77,0.51,0,1
C00027,7,20534,17768,2766,78,0.88,0,0
C00027,8,18030,32770,-14740,60,0.83,1,1
C00027,9,18797,12745,6052,80,0.71,0,0
C00027,10,11786,17394,-5608,75,0.83,0,1
C00027,11,21768,32185,-10417,64,0.61,1,1
C00027,12,19981,13009,6972,78,0.47,0,0
C00028,1,69360,36056,33304,82,0.24,0,0
C00028,2,64663,31484,33179,86,0.44,0,0
C00028,3,67114,30687,36427,85,0.23,0,0
C00028,4,69101,44145,24956,83,0.45,0,0
C00028,5,70530,36692,33838,88,0.29,0,0
C00028,6,67873,38851,29022,87,0.31,0,0
C00028,7,68614,43220,25394,89,0.23,0,0
C00028,8,66656,40972,25684,84,0.2,0,0
C00028,9,66248,36351,29897,84,0.27,0,0
C00028,10,68538,34855,33683,84,0.47,0,0
C00028,11,65052,39500,25552,89,0.34,0,0
C00028,12,68682,33324,35358,80,0.23,0,0
C00029,1,100231,40801,59430,92,0.44,0,0
C00029,2,103198,43945,59253,86,0.29,0,0
C00029,3,99217,36504,62713,86,0.45,0,0
C00029,4,99536,34110,65426,84,0.48,0,0
C00029,5,98313,48252,50061,91,0.38,0,0
C00029,6,105514,45459,60055,94,0.42,0,0
C00029,7,99886,39983,59903,86,0.24,0,0
C00029,8,97885,45203,52682,88,0.36,0,0
C00029,9,99760,35069,64691,90,0.46,0,0
C00029,10,102753,44710,58043,88,0.23,0,0
C00029,11,98283,45191,53092,85,0.38,0,0
C00029,12,102285,36114,66171,87,0.37,0,0
C00030,1,9579,8373,1206,51,0.4,0,0
C00030,2,4886,9904,-5018,56,0.78,0,1
C00030,3,6546,9343,-2797,49,0.62,0,1
C00030,4,8374,6734,1640,46,0.55,0,0
C00030,5,10106,6948,3158,48,0.41,0,0
C00030,6,5883,9491,-3608,49,0.55,0,1
C00030,7,9432,8041,1391,54,0.5,0,0
C00030,8,8460,8314,146,56,0.83,0,0
C00030,9,7870,14971,-7101,21,0.54,1,1
C00030,10,7438,6635,803,46,0.79,0,0
C00030,11,5969,7320,-1351,47,0.74,0,1
C00030,12,5568,7959,-2391,46,0.6,0,1
C00031,1,9791,7810,1981,39,0.56,0,0
C00031,2,8968,6882,2086,45,0.6,0,0
C00031,3,4575,7108,-2533,38,0.84,0,1
C00031,4,4285,8441,-4156,48,0.57,0,1
C00031,5,5262,8108,-2846,46,0.56,0,1
C00031,6,7799,6878,921,41,0.41,0,0
C00031,7,8758,13866,-5108,31,0.75,1,1
C00031,8,4124,6263,-2139,47,0.7,0,1
C00031,9,9745,7419,2326,48,0.71,0,0
C00031,10,8242,5704,2538,45,0.81,0,0
C00031,11,7699,6865,834,47,0.43,0,0
C00031,12,9352,6876,2476,48,0.46,0,0
C00032,1,170261,130668,39593,85,0.21,0,0
C00032,2,182046,228999,-46953,62,0.45,1,1
C00032,3,262772,155558,107214,92,0.36,0,0
C00032,4,193279,156576,36703,90,0.37,0,0
C00032,5,156428,175707,-19279,92,0.33,0,1
C00032,6,252118,142137,109981,88,0.26,0,0
C00032,7,195340,142107,53233,92,0.34,0,0
C00032,8,208193,138150,70043,90,0.29,0,0
C00032,9,154644,262970,-108326,76,0.45,1,1
C00032,10,201751,140032,61719,88,0.41,0,0
C00032,11,151840,125772,26068,83,0.41,0,0
C00032,12,262391,160543,101848,89,0.29,0,0
C00033,1,131771,94220,37551,96,0.25,0,0
C00033,2,130608,126139,4469,67,0.45,1,0
C00033,3,125325,79710,45615,94,0.38,0,0
C00033,4,129579,97510,32069,96,0.29,0,0
C00033,5,125568,98154,27414,93,0.39,0,0
C00033,6,132273,93200,39073,97,0.23,0,0
C00033,7,129245,87803,41442,96,0.33,0,0
C00033,8,132045,105522,26523,96,0.42,0,0
C00033,9,126689,102031,24658,98,0.49,0,0
C00033,10,130650,74270,56380,95,0.27,0,0
C00033,11,122189,78697,43492,90,0.46,0,0
C00033,12,123481,89907,33574,95,0.36,0,0
C00034,1,89727,39143,50584,91,0.21,0,0
C00034,2,98799,43906,54893,86,0.23,0,0
C00034,3,96102,79448,16654,83,0.29,1,0
C00034,4,94169,43680,50489,95,0.49,0,0
C00034,5,96706,42011,54695,91,0.46,0,0
C00034,6,96312,36322,59990,89,0.3,0,0
C00034,7,91678,32517,59161,88,0.35,0,0
C00034,8,94456,33436,61020,94,0.36,0,0
C00034,9,96736,38334,58402,95,0.46,0,0
C00034,10,89859,40074,49785,92,0.41,0,0
C00034,11,92337,45298,47039,86,0.45,0,0
C00034,12,93155,36263,56892,90,0.21,0,0
C00035,1,72635,47645,24990,53,0.41,0,0
C00035,2,105895,61746,44149,61,0.41,0,0
C00035,3,65606,52674,12932,59,0.31,0,0
C00035,4,71648,59255,12393,56,0.36,0,0
C00035,5,71595,54174,17421,61,0.25,0,0
C00035,6,115974,52907,63067,51,0.47,0,0
C00035,7,112008,55470,56538,51,0.44,0,0
C00035,8,106741,58957,47784,58,0.35,0,0
C00035,9,116578,43834,72744,53,0.21,0,0
C00035,10,116665,53769,62896,59,0.39,0,0
C00035,11,91837,51491,40346,57,0.39,0,0
C00035,12,67596,48819,18777,54,0.22,0,0
C00036,1,79519,56527,22992,94,0.4,0,0
C00036,2,79563,65734,13829,100,0.22,0,0
C00036,3,81086,51157,29929,91,0.28,0,0
C00036,4,81489,48368,33121,94,0.49,0,0
C00036,5,80528,55536,24992,99,0.31,0,0
C00036,6,80247,54451,25796,95,0.37,0,0
C00036,7,82635,46310,36325,98,0.31,0,0
C00036,8,82006,65783,16223,94,0.4,0,0
C00036,9,79784,54925,24859,97,0.41,0,0
C00036,10,79904,56515,23389,97,0.32,0,0
C00036,11,83736,52905,30831,100,0.46,0,0
C00036,12,84774,62106,22668,91,0.34,0,0
C00037,1,131420,85237,46183,82,0.3,0,0
C00037,2,125554,71720,53834,87,0.27,0,0
C00037,3,125173,84535,40638,87,0.3,0,0
C00037,4,122591,68888,53703,86,0.26,0,0
C00037,5,131365,82807,48558,88,0.21,0,0
C00037,6,123885,73615,50270,92,0.32,0,0
C00037,7,130351,90292,40059,91,0.38,0,0
C00037,8,122441,92376,30065,92,0.32,0,0
C00037,9,125585,151298,-25713,69,0.38,1,1
C00037,10,120201,73102,47099,84,0.22,0,0
C00037,11,125195,77378,47817,82,0.34,0,0
C00037,12,119927,68246,51681,91,0.24,0,0
C00038,1,100490,47191,53299,78,0.2,0,0
C00038,2,94669,42817,51852,79,0.15,0,0
C00038,3,95245,40258,54987,75,0.12,0,0
C00038,4,93501,47402,46099,73,0.25,0,0
C00038,5,98374,41777,56597,74,0.15,0,0
C00038,6,92929,56897,36032,72,0.05,0,0
C00038,7,92532,57262,35270,76,0.15,0,0
C00038,8,94274,51216,43058,71,0.15,0,0
C00038,9,98785,58505,40280,75,0.2,0,0
C00038,10,91390,49513,41877,75,0.06,0,0
C00038,11,92735,56170,36565,72,0.09,0,0
C00038,12,97582,57452,40130,79,0.2,0,0
C00039,1,97633,55015,42618,73,0.24,0,0
C00039,2,111863,51037,60826,83,0.39,0,0
C00039,3,65100,44875,20225,74,0.31,0,0
C00039,4,115300,59079,56221,76,0.25,0,0
C00039,5,86925,50693,36232,83,0.35,0,0
C00039,6,67406,59097,8309,74,0.27,0,0
C00039,7,101979,51151,50828,83,0.5,0,0
C00039,8,80756,53023,27733,83,0.46,0,0
C00039,9,116621,50075,66546,82,0.48,0,0
C00039,10,87318,60655,26663,74,0.44,0,0
C00039,11,85602,63908,21694,76,0.4,0,0
C00039,12,68155,62511,5644,75,0.25,0,0
C00040,1,40575,18660,21915,80,0.22,0,0
C00040,2,39075,19368,19707,75,0.39,0,0
C00040,3,41888,14764,27124,73,0.22,0,0
C00040,4,40772,19692,21080,72,0.22,0,0
C00040,5,41263,17233,24030,80,0.42,0,0
C00040,6,38979,18911,20068,76,0.33,0,0
C00040,7,38868,18027,20841,73,0.42,0,0
C00040,8,38863,19421,19442,80,0.34,0,0
C00040,9,40510,19802,20708,75,0.33,0,0
C00040,10,42456,15306,27150,82,0.34,0,0
C00040,11,42469,17558,24911,75,0.36,0,0
C00040,12,41446,17421,24025,76,0.33,0,0
C00041,1,71906,30648,41258,89,0.38,0,0
C00041,2,72418,31481,40937,95,0.41,0,0
C00041,3,74020,27593,46427,91,0.33,0,0
C00041,4,73716,31597,42119,94,0.48,0,0
C00041,5,74134,40998,33136,93,0.35,0,0
C00041,6,69216,74547,-5331,75,0.31,1,1
C00041,7,70376,56453,13923,64,0.31,1,0
C00041,8,72342,31126,41216,97,0.26,0,0
C00041,9,75601,29992,45609,95,0.27,0,0
C00041,10,73985,29709,44276,90,0.37,0,0
C00041,11,71096,39272,31824,97,0.49,0,0
C00041,12,72692,35738,36954,87,0.29,0,0
C00042,1,199910,69707,130203,69,0.37,0,0
C00042,2,120147,68262,51885,70,0.49,0,0
C00042,3,190623,73626,116997,70,0.25,0,0
C00042,4,171336,71390,99946,67,0.48,0,0
C00042,5,147397,78266,69131,68,0.28,0,0
C00042,6,140196,71845,68351,68,0.22,0,0
C00042,7,164340,89458,74882,63,0.47,0,0
C00042,8,158339,63116,95223,69,0.3,0,0
C00042,9,220483,76225,144258,60,0.29,0,0
C00042,10,166645,87012,79633,66,0.27,0,0
C00042,11,150365,64269,86096,64,0.23,0,0
C00042,12,133908,73814,60094,60,0.48,0,0
C00043,1,18974,27477,-8503,63,0.83,0,1
C00043,2,12976,23920,-10944,61,0.73,0,1
C00043,3,16413,20101,-3688,62,0.63,0,1
C00043,4,18249,21067,-2818,59,0.45,0,1
C00043,5,22740,24834,-2094,67,0.45,0,1
C00043,6,24184,57154,-32970,52,0.52,1,1
C00043,7,27560,42980,-15420,41,0.65,1,1
C00043,8,22870,39942,-17072,43,0.42,1,1
C00043,9,23140,21229,1911,60,0.86,0,0
C00043,10,15950,23676,-7726,60,0.5,0,1
C00043,11,28825,25844,2981,66,0.42,0,0
C00043,12,13324,42134,-28810,58,0.69,1,1
C00044,1,11885,12925,-1040,40,0.57,0,1
C00044,2,10921,11475,-554,35,0.87,0,1
C00044,3,10271,11261,-990,31,0.54,0,1
C00044,4,5524,10535,-5011,34,0.89,0,1
C00044,5,7523,11349,-3826,33,0.48,0,1
C00044,6,5686,12152,-6466,32,0.59,0,1
C00044,7,7354,11325,-3971,38,0.78,0,1
C00044,8,12948,13638,-690,31,0.65,0,1
C00044,9,10089,14247,-4158,35,0.48,0,1
C00044,10,10077,9676,401,36,0.52,0,0
C00044,11,9803,14236,-4433,41,0.58,0,1
C00044,12,6603,24307,-17704,19,0.57,1,1
C00045,1,78392,71265,7127,83,0.77,0,0
C00045,2,69589,64149,5440,87,0.59,0,0
C00045,3,64674,60570,4104,84,0.83,0,0
C00045,4,111070,76691,34379,85,0.82,0,0
C00045,5,90270,74195,16075,84,0.79,0,0
C00045,6,94115,69227,24888,88,0.49,0,0
C00045,7,84513,68075,16438,88,0.53,0,0
C00045,8,71804,58386,13418,88,0.52,0,0
C00045,9,80094,77223,2871,85,0.89,0,0
C00045,10,63097,69135,-6038,83,0.73,0,1
C00045,11,71514,115559,-44045,59,0.72,1,1
C00045,12,80414,66048,14366,79,0.78,0,0
C00046,1,141491,100625,40866,82,0.35,0,0
C00046,2,146095,236105,-90010,55,0.28,1,1
C00046,3,144432,84150,60282,81,0.44,0,0
C00046,4,147053,104672,42381,75,0.46,0,0
C00046,5,144783,93009,51774,79,0.47,0,0
C00046,6,141847,114961,26886,79,0.43,0,0
C00046,7,144375,104995,39380,80,0.34,0,0
C00046,8,147106,104964,42142,81,0.34,0,0
C00046,9,141643,87385,54258,75,0.28,0,0
C00046,10,141808,90593,51215,85,0.42,0,0
C00046,11,134572,284461,-149889,66,0.46,1,1
